Date,First_30min_Volume_Estimated,Total_Day_Volume,Estimated_Percentage,Volume_vs_Average,Volume_Category,First_30min_Trades_Estimated,Trades_vs_30min_Average,Trades_vs_Daily_Average,Total_Day_Trades_Estimated,Trade_Percentage_First_30min,Daily_Return,Opening_Gap_Percent,Volume_ZScore
2024-07-12,6079123.8,13509164.0,45.0,14.11534753271854,Extreme,528165,17.257023845889126,4.6797463421124,1173700,45.0,5.124376766645731,1.4348723496763074,3.8931801225062035
2024-05-31,4930560.0,10956800.0,45.0,11.448453793772174,Extreme,396668,12.96055046226302,3.5146320222525946,881485,45.0,-1.8462579900568197,0.1043844594600131,4.071566724350698
2023-12-15,3839053.5,8531230.0,45.0,8.914043558250857,Extreme,286362,9.356462208886432,2.5372781650052376,636360,45.0,5.299044138204626,0.015004125211840202,3.7951945122194752
2024-03-19,3800768.546648597,8931209.0,42.556036328884446,8.825148276692522,Extreme,309036,10.0973022090411,2.738178581657338,686748,45.0,-1.8253613371644601,2.438299481540222,3.7449857120170433
2025-01-10,3552435.0,7894300.0,45.0,8.248533219934258,Extreme,294218,9.613145592551204,2.60688536590578,653819,45.0,1.5630929129464268,3.989990530185341,3.6145142570486346
2023-03-17,3032984.7,6739966.0,45.0,7.042401916854873,Extreme,184455,6.026799075087291,1.634342698842867,409902,45.0,0.9141421624543717,1.0832214421401127,3.597180001691219
2025-02-28,2816523.7451893706,7085018.0,39.75323344541073,6.539793036868564,Extreme,215845,7.052421709155166,1.9124702492843166,479657,45.0,-2.836858325975522,0.7640052880699967,3.16684707676518
2022-07-11,2699884.0558148804,6974600.0,38.710235078927546,6.268962929472286,Extreme,177921,5.813310120292786,1.5764489296620952,395382,45.0,-2.8803972468073233,1.8159834077314456,3.182395165943321
2024-01-12,2669874.538558899,6813450.0,39.185354534911085,6.199282696054882,Extreme,215254,7.033111642996068,1.907233760520032,478343,45.0,0.9043671732880759,3.0102649454823927,2.290577596940205
2025-04-07,2639108.178802929,6623955.0,39.84187964445605,6.127845121404377,Extreme,171214,5.594168641901794,1.5170223135164818,380477,45.0,5.614517704133071,6.043518684272823,2.569452945113539
2023-07-14,2576421.1077279863,6306101.0,40.856007661913225,5.982289639538546,Extreme,180672,5.903195047540978,1.600823854519197,401495,45.0,4.447248212295691,0.7319151045330213,3.093706813684977
2023-05-31,2570472.5247576707,5815424.0,44.200947768514744,5.968477399696808,Extreme,167051,5.458148666571288,1.4801365221024085,371225,45.0,-0.5893019038984583,0.2171162837464196,4.0667345531481915
2022-02-21,2419726.5315636997,7465922.0,32.41028410909864,5.618454575174346,Extreme,213106,6.962928864468581,1.888201649072175,473571,45.0,-2.3779553190616736,0.42436518507339394,2.735679765473276
2025-04-11,2207068.0187390205,7108961.0,31.046281147681363,5.124674729086752,Extreme,174346,5.696502190480978,1.5447730458510667,401122,43.46479360675391,-1.7646805175925133,1.3229216472820624,2.145373399799272
